Name,Logic Elements,Registers,Max Clock Freq,Synthesis Time,DSP Blocks,Clock Cycles,Correct
radix2_29,338,182                                         ;,151.26,0:02:08,0,17,1
,,,,,,,
radix2_30,338,180                                         ;,162.02,0:02:12,0,18,1
,,,,,,,
radix2_31,338,180                                         ;,162.02,0:02:12,0,18,1
,,,,,,,
radix2_32,376,193                                         ;,138.97,0:02:12,0,18,1
,,,,,,,
radix2_32,376,193                                         ;,138.97,0:02:14,0,18,1
,,,,,,,
radix2_8,79,65                                          ;,221.29,0:01:53,0,6,1
,,,,,,,
radix2_9,98,73                                          ;,231.7,0:01:51,0,4,0
,,,,,,,
radix2_10,99,71                                          ;,222.12,0:01:49,0,9,0
,,,,,,,
radix2_11,119,83                                          ;,195.16,0:01:53,0,7,0
,,,,,,,
radix2_12,122,89                                          ;,181.09,0:01:50,0,10,1
,,,,,,,
radix2_13,138,88                                          ;,178.19,0:01:53,0,8,0
,,,,,,,
radix2_14,139,93                                          ;,180.86,0:01:57,0,11,1
,,,,,,,
radix2_15,161,107                                         ;,185.43,0:01:57,0,11,1
,,,,,,,
radix2_16,174,109                                         ;,186.64,0:01:56,0,13,1
,,,,,,,
radix2_17,194,120                                         ;,175.38,0:02:01,0,12,1
,,,,,,,
radix2_18,197,126                                         ;,176.03,0:01:59,0,12,1
,,,,,,,
radix2_19,205,125                                         ;,168.69,0:02:01,0,15,1
,,,,,,,
radix2_20,215,132                                         ;,174.19,0:02:10,0,13,1
,,,,,,,
radix2_21,238,142                                         ;,162.71,0:01:57,0,16,1
,,,,,,,
radix2_22,247,140                                         ;,174.58,0:02:02,0,13,1
,,,,,,,
radix2_23,268,150                                         ;,156.74,0:02:00,0,14,1
,,,,,,,
radix2_24,266,153                                         ;,159.16,0:01:58,0,14,1
,,,,,,,
radix2_25,294,163                                         ;,159.82,0:02:11,0,15,1
,,,,,,,
radix2_26,292,163                                         ;,163.77,0:02:19,0,15,1
,,,,,,,
radix2_27,315,168                                         ;,159.44,0:02:13,0,19,1
,,,,,,,
radix2_28,313,170                                         ;,160.46,0:02:09,0,18,1
,,,,,,,
radix2_29,338,182                                         ;,151.26,0:02:12,0,17,1
,,,,,,,
radix2_30,338,180                                         ;,162.02,0:02:11,0,18,1
,,,,,,,
radix2_31,338,180                                         ;,162.02,0:02:11,0,18,1
,,,,,,,
radix2_32,376,193                                         ;,138.97,0:02:14,0,19,1
,,,,,,,
radix2_8,79,65                                          ;,221.29,0:01:51,0,6,1
,,,,,,,
radix2_9,98,73                                          ;,231.7,0:01:52,0,7,1
,,,,,,,
radix2_10,99,71                                          ;,222.12,0:01:45,0,7,1
,,,,,,,
radix2_11,119,83                                          ;,195.16,0:01:51,0,8,1
,,,,,,,
radix2_12,122,89                                          ;,181.09,0:01:51,0,9,1
,,,,,,,
radix2_13,138,88                                          ;,178.19,0:01:53,0,11,1
,,,,,,,
radix2_14,139,93                                          ;,180.86,0:01:55,0,9,1
,,,,,,,
radix2_15,161,107                                         ;,185.43,0:01:57,0,10,1
,,,,,,,
radix2_16,174,109                                         ;,186.64,0:01:58,0,10,1
,,,,,,,
radix2_17,194,120                                         ;,175.38,0:01:55,0,11,1
,,,,,,,
radix2_18,197,126                                         ;,176.03,0:01:58,0,13,1
,,,,,,,
radix2_19,205,125                                         ;,168.69,0:01:59,0,15,1
,,,,,,,
radix2_20,215,132                                         ;,174.19,0:01:59,0,14,1
,,,,,,,
radix2_21,238,142                                         ;,162.71,0:02:00,0,13,1
,,,,,,,
radix2_22,247,140                                         ;,174.58,0:01:56,0,13,1
,,,,,,,
radix2_23,268,150                                         ;,156.74,0:01:59,0,16,1
,,,,,,,
radix2_24,266,153                                         ;,159.16,0:01:58,0,16,1
,,,,,,,
radix2_25,294,163                                         ;,159.82,0:02:12,0,15,1
,,,,,,,
radix2_26,292,163                                         ;,163.77,0:02:15,0,16,1
,,,,,,,
radix2_27,315,168                                         ;,159.44,0:02:11,0,16,1
,,,,,,,
radix2_28,313,170                                         ;,160.46,0:02:07,0,16,1
,,,,,,,
radix2_29,338,182                                         ;,151.26,0:02:08,0,18,1
,,,,,,,
radix2_30,338,180                                         ;,162.02,0:02:14,0,19,1
,,,,,,,
radix2_31,338,180                                         ;,162.02,0:02:14,0,19,1
,,,,,,,
radix2_32,376,193                                         ;,138.97,0:02:12,0,18,1
,,,,,,,
radix2_33,403,209                                         ;,148.28,0:02:19,0,19,1
,,,,,,,
